裝設金融機構代號,裝設金融機構名稱,裝設地點,裝設縣市,裝設地址,lat,lng
4,臺灣銀行,士林分行,台北市,台北市士林區中山北路六段197號,25.10795,121.52493
4,臺灣銀行,大同公司,台北市,台北市中山區中山北路三段22號,25.06446,121.52173
4,臺灣銀行,大安分行,台北市,台北市大安區敦化南路二段69號,25.03068,121.54915
4,臺灣銀行,大安分行,台北市,台北市大安區敦化南路二段69號1樓,25.03068,121.54915
4,臺灣銀行,中山分行,台北市,台北市中山區中山北路一段150號,25.05182,121.52223
4,臺灣銀行,中央健康保險局,台北市,台北市大安區信義路三段140號1樓,25.03319,121.54018
4,臺灣銀行,中租迪合股份有限公司,台北市,台北市內湖區瑞光路362號,25.07734,121.5725
4,臺灣銀行,中崙分行,台北市,台北市松山區南京東路五段184號,25.0512,121.56366
4,臺灣銀行,中華電信大安園區,台北市,台北市大安區信義路4段88號,25.03303,121.5475
4,臺灣銀行,中華電信公司仁愛綜合大樓,台北市,台北市中正區杭州南路一段26號,25.03731,121.52463
4,臺灣銀行,中華電信公司東區營業處,台北市,台北市信義區松仁路130號,25.03364,121.568
4,臺灣銀行,中華電信公司博愛局區,台北市,台北市中正區博愛路168號,25.03952,121.51105
4,臺灣銀行,中華電信長途通信大樓,台北市,台北市大安區愛國東路35號,25.03191,121.5266
4,臺灣銀行,中華電信電信大樓,台北市,台北市中正區信義路一段21號,25.03606,121.52381
4,臺灣銀行,仁愛分行,台北市,台北市中正區仁愛路二段99號,25.0384,121.53235
4,臺灣銀行,內湖分行,台北市,台北市內湖區內湖路一段396號,25.08052,121.57321
4,臺灣銀行,公庫部,台北市,台北市中正區貴陽街一段120號,25.03901,121.50844
4,臺灣銀行,公館分行,台北市,台北市中正區羅斯福路四段120號,25.0132,121.5356
4,臺灣銀行,天母分行,台北市,台北市士林區中山北路七段18號,25.11901,121.53086
4,臺灣銀行,文山分行,台北市,台北市文山區羅斯福路六段218號,24.99294,121.54063
4,臺灣銀行,木柵分行,台北市,台北市文山區新光路一段145號,24.99202,121.57389
4,臺灣銀行,世貿中心展覽大樓,台北市,台北市信義區信義路五段5號1樓,25.03318,121.56085
4,臺灣銀行,世貿分行,台北市,台北市信義區基隆路一段333號3樓,25.03425,121.56111
4,臺灣銀行,北投分行,台北市,台北市北投區中央南路一段152號,25.12977,121.50086
4,臺灣銀行,北區電信局數據通信,台北市,台北市中正區信義路一段21號,25.03606,121.52381
4,臺灣銀行,北區電信局營業廳,台北市,台北市中正區仁愛路一段42號,25.03815,121.52381
4,臺灣銀行,北區電信局警衛室,台北市,台北市中正區仁愛路一段42號,25.03815,121.52381
4,臺灣銀行,北機分行,台北市,台北市松山區敦化北路340-9號,25.06368,121.55188
4,臺灣銀行,台北地方法院,台北市,台北市中正區博愛路131號1樓,25.03682,121.5111
4,臺灣銀行,台北地院(二),台北市,台北市中正區博愛路131號2樓,25.03682,121.5111
4,臺灣銀行,台電簡易型分行,台北市,台北市中正區羅斯福路3段242號1樓,25.03423,121.51743
4,臺灣銀行,台銀綜合證券公司,台北市,台北市中正區重慶南路一段58號4樓,25.03132,121.51703
4,臺灣銀行,民生分行,台北市,台北市松山區復興北路167號,25.05389,121.54431
4,臺灣銀行,民權分行,台北市,台北市大同區承德路二段239號,25.06249,121.51851
4,臺灣銀行,民權分行-無人銀行,台北市,台北市大同區承德路二段239號,25.06249,121.51851
4,臺灣銀行,民權分行營業廳,台北市,台北市大同區承德路二段239號,25.06249,121.51851
4,臺灣銀行,立法院中興大樓,台北市,台北市中正區濟南路一段3-1號,25.04296,121.52168
4,臺灣銀行,立法院中興大樓,台北市,台北市中正區濟南路一段3之1號,25.04296,121.52168
4,臺灣銀行,行內,台北市,台北市大安區愛國東路31號,25.03216,121.5248
4,臺灣銀行,行內,台北市,台北市松山區敦化北路340-9號,25.06368,121.55188
4,臺灣銀行,行內,台北市,台北市信義區松仁路3號3樓,25.04031,121.56877
4,臺灣銀行,行內無人銀行,台北市,台北市文山區羅斯福路6段218號,25.01023,121.5371
4,臺灣銀行,行內無人銀行,台北市,台北市南港區三重路66號2樓之2,25.05711,121.6143
4,臺灣銀行,行政院農業委員會,台北市,台北市中正區南海路37號,25.03206,121.51322
4,臺灣銀行,和平分行,台北市,台北市大安區和平東路一段180號,25.02621,121.52959
4,臺灣銀行,延平分行,台北市,台北市大同區南京西路406號,25.05319,121.50985
4,臺灣銀行,忠孝分行,台北市,台北市大安區敦化南路一段202號,25.04204,121.5485
4,臺灣銀行,忠孝分行-無人銀行,台北市,台北市大安區敦化南路一段202號,25.04204,121.5485
4,臺灣銀行,東門簡易型分行,台北市,台北市中正區東門里15鄰紹興南街21號,25.03785,121.5233
4,臺灣銀行,東湖分行,台北市,台北市內湖區成功路五段458號,25.07417,121.60661
4,臺灣銀行,松山分行,台北市,台北市信義區忠孝東路四段560號,25.04098,121.56389
4,臺灣銀行,松山分行-無人銀行,台北市,台北市信義區忠孝東路四段560號,25.04098,121.56389
4,臺灣銀行,松山分行-無人銀行(外幣),台北市,台北市信義區忠孝東路四段560號,25.04098,121.56389
4,臺灣銀行,松江分行,台北市,台北市中山區松江路115號,25.05169,121.53323
4,臺灣銀行,武昌分行,台北市,台北市中正區武昌街一段49號,25.04426,121.51088
4,臺灣銀行,法務部,台北市,台北市中正區重慶南路一段130號,25.02957,121.51832
4,臺灣銀行,金山分行,台北市,台北市大安區金山南路二段189號,25.02824,121.52639
4,臺灣銀行,信安分行,台北市,台北市大安區信義路三段132號,25.03324,121.53934
4,臺灣銀行,信義分行,台北市,台北市大安區信義路二段88號,25.03396,121.52688
4,臺灣銀行,信義分行,台北市,台北市大安區信義路二段88號2樓,25.03396,121.52688
4,臺灣銀行,南門分行,台北市,台北市中正區南昌街一段120號,25.02971,121.51816
4,臺灣銀行,南門分行,台北市,台北市中正區南昌路一段120號,25.02971,121.51816
4,臺灣銀行,南港分行-無人銀行,台北市,台北市南港區南港路二段95號,25.05387,121.59763
4,臺灣銀行,南港軟體園區分行,台北市,台北市南港區三重路66號2樓之2,25.05711,121.6143
